"FIPS code","State","County Name","Total: Disability Compensation Recipients","SCD rating: 0% to 20%","SCD rating: 30% to 40%","SCD rating: 50% to 60%","SCD rating: 70% to 90%","SCD rating: 100%","Age: 17-44","Age: 45-64","Age: 65 or older","Male","Female"
"39093","Ohio","Lorain","5,575","1,335","738","715","1,579","1,208","1,530","1,727","2,318","4,997","577"
"39113","Ohio","Montgomery","12,417","2,575","1,599","1,699","3,667","2,877","3,299","4,590","4,528","10,507","1,910"
"39151","Ohio","Stark","6,204","1,420","809","737","1,835","1,403","1,694","1,862","2,648","5,594","610"
"39153","Ohio","Summit","7,101","1,696","881","929","2,015","1,580","2,079","2,038","2,984","6,321","780"
"40017","Oklahoma","Canadian","5,985","886","492","653","1,853","2,101","2,262","2,054","1,669","5,177","808"
"40027","Oklahoma","Cleveland","10,741","1,705","900","1,110","3,301","3,725","3,084","4,013","3,644","9,404","1,336"
"40031","Oklahoma","Comanche","10,461","920","649","745","2,880","5,267","2,874","4,304","3,283","8,807","1,654"
"40109","Oklahoma","Oklahoma","21,675","3,665","2,011","2,334","6,817","6,848","6,279","7,530","7,866","18,696","2,977"
"40143","Oklahoma","Tulsa","13,244","2,999","1,440","1,540","4,070","3,195","3,780","4,056","5,408","11,898","1,346"
"41005","Oregon","Clackamas","7,239","1,768","1,004","1,026","2,056","1,385","2,048","2,026","3,165","6,533","702"
"41029","Oregon","Jackson","6,350","1,435","744","785","1,910","1,476","1,427","1,817","3,106","5,750","600"
"41039","Oregon","Lane","8,333","1,671","923","1,054","2,564","2,121","2,238","2,169","3,926","7,420","911"
"41047","Oregon","Marion","5,802","1,311","795","827","1,775","1,094","1,683","1,706","2,413","5,155","646"
"41051","Oregon","Multnomah","8,939","2,066","1,253","1,237","2,684","1,699","3,128","2,557","3,254","7,724","1,214"
"41067","Oregon","Washington","8,925","2,061","1,254","1,298","2,545","1,767","3,189","2,606","3,130","7,911","1,012"
"42003","Pennsylvania","Allegheny","14,249","3,498","1,815","1,919","3,787","3,230","3,913","4,029","6,307","12,771","1,478"
"42017","Pennsylvania","Bucks","6,156","1,264","664","736","1,891","1,601","1,698","1,658","2,800","5,642","511"
"42029","Pennsylvania","Chester","5,604","1,155","555","644","1,708","1,542","1,471","1,567","2,566","5,102","502"
"42041","Pennsylvania","Cumberland","5,490","1,094","702","732","1,580","1,382","1,414","2,108","1,968","4,779","711"
"42049","Pennsylvania","Erie","5,311","1,403","601","620","1,475","1,212","1,337","1,577","2,397","4,823","487"
"42071","Pennsylvania","Lancaster","5,475","1,189","684","694","1,514","1,394","1,621","1,562","2,292","4,900","575"
"42079","Pennsylvania","Luzerne","5,090","1,130","531","635","1,502","1,292","1,117","1,448","2,525","4,659","431"
"42091","Pennsylvania","Montgomery","7,535","1,483","866","869","2,255","2,062","2,171","2,115","3,248","6,812","723"
"42101","Pennsylvania","Philadelphia","12,924","2,127","1,154","1,409","4,335","3,899","3,596","3,642","5,686","11,337","1,586"
"42129","Pennsylvania","Westmoreland","5,296","1,253","740","710","1,408","1,185","1,270","1,457","2,569","4,866","427"
"42133","Pennsylvania","York","7,601","1,540","895","977","2,205","1,984","2,308","2,689","2,604","6,696","904"
"44007","Rhode Island","Providence","7,775","1,909","937","1,046","2,224","1,659","2,281","1,973","3,521","7,110","665"
"45003","South Carolina","Aiken","5,544","807","577","665","1,785","1,710","1,612","2,019","1,913","4,678","865"
"45013","South Carolina","Beaufort","6,801","1,148","793","816","2,057","1,987","2,045","2,191","2,565","5,793","1,008"
"45015","South Carolina","Berkeley","12,046","1,828","1,227","1,567","3,900","3,524","4,095","4,479","3,472","10,000","2,043"
"45019","South Carolina","Charleston","10,261","1,927","1,222","1,319","3,155","2,638","2,879","3,367","4,015","8,815","1,446"
"45035","South Carolina","Dorchester","8,138","1,296","877","1,044","2,557","2,364","2,457","3,304","2,377","6,768","1,370"
"45045","South Carolina","Greenville","9,668","1,759","1,076","1,107","2,973","2,753","2,961","3,112","3,594","8,465","1,202"
"45051","South Carolina","Horry","12,060","2,226","1,119","1,318","3,584","3,813","2,230","3,691","6,138","10,806","1,252"
"45063","South Carolina","Lexington","9,171","1,306","809","1,032","2,781","3,243","2,802","3,434","2,935","7,872","1,299"
"45079","South Carolina","Richland","20,680","2,088","1,459","1,818","6,138","9,177","5,471","8,547","6,662","15,745","4,933"
"45083","South Carolina","Spartanburg","6,640","1,128","692","806","2,090","1,924","2,075","2,107","2,458","5,837","802"
"45085","South Carolina","Sumter","6,412","869","577","728","1,991","2,247","1,575","2,569","2,268","5,226","1,186"
"45091","South Carolina","York","6,184","943","614","683","1,930","2,014","1,817","2,201","2,166","5,403","781"
"47009","Tennessee","Blount","4,019","1,022","445","472","1,082","998","957","1,276","1,786","3,633","386"
"47037","Tennessee","Davidson","8,649","1,713","954","954","2,683","2,345","3,148","2,628","2,873","7,419","1,227"
"47065","Tennessee","Hamilton","7,033","1,365","745","866","2,176","1,881","1,855","2,340","2,838","6,311","722"
"47093","Tennessee","Knox","9,729","2,107","1,060","1,132","2,882","2,548","2,966","3,097","3,666","8,682","1,045"
"47125","Tennessee","Montgomery","23,053","2,124","1,507","2,030","7,262","10,130","9,311","9,322","4,420","18,559","4,494"
"47149","Tennessee","Rutherford","7,428","1,317","723","792","2,348","2,248","2,479","2,714","2,235","6,380","1,048"
"47157","Tennessee","Shelby","15,521","3,222","1,647","1,730","4,565","4,357","3,214","6,026","6,281","13,148","2,373"
"47163","Tennessee","Sullivan","4,616","1,003","511","550","1,368","1,184","998","1,499","2,119","4,254","362"
"47165","Tennessee","Sumner","4,300","817","464","506","1,294","1,219","1,385","1,463","1,452","3,827","473"
"47179","Tennessee","Washington","4,610","939","491","544","1,416","1,220","1,035","1,513","2,062","4,176","434"
"48027","Texas","Bell","39,929","3,466","2,611","3,424","12,216","18,212","14,270","17,085","8,573","30,829","9,099"
"48029","Texas","Bexar","95,255","12,377","7,672","8,978","28,075","38,153","30,180","37,519","27,556","76,906","18,341"
"48039","Texas","Brazoria","9,156","1,422","809","949","2,780","3,196","3,298","3,300","2,558","7,729","1,426"
"48061","Texas","Cameron","8,544","1,435","677","771","2,569","3,092","2,534","2,672","3,338","7,865","678"
"48085","Texas","Collin","16,767","2,644","1,646","1,928","4,855","5,694","6,811","6,008","3,948","14,350","2,416"
"48091","Texas","Comal","11,781","1,497","846","1,045","3,116","5,277","2,905","5,219","3,657","9,759","2,022"
"48113","Texas","Dallas","27,991","4,689","2,929","3,260","8,759","8,354","10,361","8,916","8,714","23,448","4,540"
"48121","Texas","Denton","17,525","2,815","1,794","2,007","5,308","5,601","6,935","6,382","4,208","15,079","2,444"
"48139","Texas","Ellis","6,506","808","514","677","1,900","2,607","2,392","2,614","1,500","5,339","11,66"
"48141","Texas","El Paso","30,865","3,391","2,122","2,728","9,931","12,693","12,210","10,753","7,902","26,574","4,290"
"48157","Texas","Fort Bend","12,986","1,916","1,028","1,306","3,855","4,881","4,701","4,865","3,420","10,845","2,141"
"48167","Texas","Galveston","8,038","1,478","729","933","2,406","2,492","2,676","2,842","2,520","7,013","1,021"
"48187","Texas","Guadalupe","14,384","1,422","956","1,236","3,921","6,849","3,948","6,744","3,692","11,379","3,005"
"48201","Texas","Harris","61,160","10,271","5,544","6,399","19,597","19,349","25,215","19,993","15,952","51,138","10,017"
"48209","Texas","Hays","6,519","979","587","715","1,993","2,245","2,624","2,049","1,846","5,633","885"
"48215","Texas","Hidalgo","12,178","2,191","984","1,127","3,671","4,205","3,713","3,783","4,682","11,236","941"
"48251","Texas","Johnson","5,089","730","488","585","1,463","1,823","1,969","1,754","1,366","4,363","726"
"48257","Texas","Kaufman","4,681","544","359","473","1,464","1,841","2,115","1,620","946","3,810","870"
"48303","Texas","Lubbock","5,790","1,132","617","747","1,799","1,495","1,982","1,812","1,996","5,176","614"
"48309","Texas","McLennan","7,144","1,134","695","816","2,247","2,252","2,152","2,299","2,693","6,290","854"
"48339","Texas","Montgomery","16,882","2,549","1,410","1,822","5,253","5,848","6,928","5,758","4,196","14,577","2,303"
"48355","Texas","Nueces","11,556","1,937","1,031","1,204","3,467","3,917","3,028","4,278","4,250","10,355","1,201"
"48367","Texas","Parker","6,174","967","539","642","1,816","2,210","2,189","2,384","1,601","5,426","748"
"48439","Texas","Tarrant","42,439","7,085","4,212","4,966","12,915","13,261","16,178","15,250","11,011","35,758","6,679"
"48441","Texas","Taylor","5,656","865","530","699","1,778","1,784","1,795","2,061","1,800","4,860","795"
"48453","Texas","Travis","17,427","3,157","1,788","1,987","5,402","5,093","7,473","5,325","4,629","14,865","2,561"
"48485","Texas","Wichita","5,379","867","536","621","1,582","1,773","1,584","1,972","1,823","4,618","761"
"48491","Texas","Williamson","17,801","2,561","1,655","1,857","5,513","6,215","7,255","6,178","4,368","15,003","2,795"
"49011","Utah","Davis","7,903","1,349","902","1,029","2,523","2,100","2,694","3,167","2,042","6,985","918"
"49035","Utah","Salt Lake","11,692","2,422","1,388","1,497","3,554","2,831","4,240","3,510","3,942","10,446","1,246"
"49049","Utah","Utah","5,341","908","584","667","1,761","1,421","2,145","1,645","1,550","4,924","417"
"49057","Utah","Weber","6,318","1,040","640","842","2,083","1,713","2,129","2,400","1,789","5,552","765"
"51041","Virginia","Chesterfield","10,811","1,480","1,063","1,138","3,129","4,001","2,778","4,842","3,191","8,678","2,132"
"51059","Virginia","Fairfax","28,220","4,622","3,408","3,547","7,627","9,016","8,203","12,792","7,225","22,928","5,290"
"51107","Virginia","Loudoun","8,346","1,454","990","975","2,227","2,700","2,759","3,991","1,596","7,111","1,233"
"51153","Virginia","Prince William","19,016","2,536","1,911","1,994","5,088","7,487","5,162","9,600","4,254","14,959","4,056"
"51177","Virginia","Spotsylvania","7,521","894","690","812","2,159","2,966","2,225","3,510","1,786","6,236","1,285"
"51179","Virginia","Stafford","12,753","1,347","1,046","1,266","3,408","5,686","3,674","6,790","2,289","10,245","2,508"
"51550","Virginia","Chesapeake City","17,037","1,816","1,482","1,901","4,912","6,926","5,273","7,965","3,799","13,219","3,815"
"51650","Virginia","Hampton City","9,344","1,280","919","1,116","2,810","3,219","3,000","3,504","2,840","6,900","2,444"
"51700","Virginia","Newport News City","9,151","1,251","912","1,121","2,773","3,094","2,910","3,667","2,574","6,958","2,193"
"51710","Virginia","Norfolk City","10,708","1,442","1,155","1,413","3,477","3,221","4,440","3,881","2,387","8,022","2,684"
"51800","Virginia","Suffolk City","7,343","694","561","728","2,111","3,249","2,325","3,591","1,427","5,446","1,896"
"51810","Virginia","Virginia Beach City","27,752","3,742","2,865","3,327","8,087","9,731","8,213","12,189","7,350","22,410","5,341"
"53005","Washington","Benton","4,160","1,063","526","540","1,156","875","1,334","1,257","1,569","3,783","375"
"53011","Washington","Clark","10,476","2,377","1,416","1,441","3,085","2,157","3,212","3,439","3,825","9,183","1,293"
"53029","Washington","Island","5,387","914","685","726","1,647","1,415","1,512","2,110","1,765","4,486","899"
"53033","Washington","King","21,599","4,999","2,993","2,855","6,267","4,485","8,239","6,457","6,903","18,856","2,738"
"53035","Washington","Kitsap","15,341","3,106","2,092","2,267","4,607","3,269","4,550","6,160","4,631","13,334","2,004"
"53053","Washington","Pierce","35,747","6,227","4,213","4,262","10,841","10,204","11,920","12,693","11,134","30,338","5,406"
"53061","Washington","Snohomish","12,801","2,906","1,708","1,769","3,835","2,583","4,493","4,338","3,970","11,281","1,516"
"53063","Washington","Spokane","15,426","3,403","1,894","2,054","4,318","3,757","4,112","5,291","6,023","13,509","1,916"
"53067","Washington","Thurston","15,129","2,256","1,542","1,715","4,651","4,965","5,094","5,645","4,390","12,713","2,414"
"54003","West Virginia","Berkeley","4,350","749","446","509","1,413","1,233","1,304","1,642","1,404","3,777","572"
"54039","West Virginia","Kanawha","3,478","755","373","405","1,019","926","708","1,150","1,620","3,231","246"
"55009","Wisconsin","Brown","4,325","1,008","619","586","1,275","837","1,339","1,262","1,724","3,852","473"
"55025","Wisconsin","Dane","6,131","1,551","879","816","1,587","1,298","1,898","1,797","2,436","5,366","763"
"55079","Wisconsin","Milwaukee","9,457","2,060","1,219","1,203","2,933","2,042","2,873","2,818","3,766","8,180","1,276"
"55133","Wisconsin","Waukesha","4,881","1,090","729","646","1,392","1,024","1,507","1,339","2,035","4,406","473"
"56021","Wyoming","Laramie","5,769","1,260","672","771","1,647","1,419","1,556","2,242","1,971","4,996","773"
"72000","Puerto Rico","Puerto Rico all counties","36,399","4,167","2,334","3,129","11,619","15,150","8,176","10,893","17,330","33,612","2,781"
